Column Name,Data Type,Missing Values
MS_SubClass,int32,0
MS_Zoning,int32,0
Lot_Frontage,float64,0
Lot_Area,float64,0
Street,int32,0
Alley,int32,0
Lot_Shape,int32,0
Land_Contour,int32,0
Utilities,int32,0
Lot_Config,int32,0
Land_Slope,int32,0
Neighborhood,int32,0
Condition_1,int32,0
Condition_2,int32,0
Bldg_Type,int32,0
House_Style,int32,0
Overall_Cond,int32,0
Year_Built,float64,0
Year_Remod_Add,float64,0
Roof_Style,int32,0
Roof_Matl,int32,0
Exterior_1st,int32,0
Exterior_2nd,int32,0
Mas_Vnr_Area,float64,0
Exter_Cond,int32,0
Foundation,int32,0
Bsmt_Cond,int32,0
Bsmt_Exposure,int32,0
BsmtFin_Type_1,int32,0
BsmtFin_SF_1,int64,0
BsmtFin_Type_2,int32,0
BsmtFin_SF_2,int64,0
Bsmt_Unf_SF,float64,0
Total_Bsmt_SF,float64,0
Heating,int32,0
Heating_QC,int32,0
Central_Air,int32,0
Electrical,int32,0
First_Flr_SF,float64,0
Second_Flr_SF,float64,0
Gr_Liv_Area,float64,0
Bsmt_Full_Bath,float64,0
Bsmt_Half_Bath,int64,0
Full_Bath,float64,0
Half_Bath,float64,0
Bedroom_AbvGr,float64,0
Kitchen_AbvGr,int64,0
TotRms_AbvGrd,int64,0
Functional,int32,0
Fireplaces,float64,0
Garage_Type,int32,0
Garage_Finish,int32,0
Garage_Cars,float64,0
Garage_Area,int64,0
Garage_Cond,int32,0
Paved_Drive,int32,0
Wood_Deck_SF,int64,0
Open_Porch_SF,int64,0
Enclosed_Porch,int64,0
Three_season_porch,int64,0
Screen_Porch,int64,0
Pool_Area,int64,0
Pool_QC,int32,0
Fence,int32,0
Misc_Val,int64,0
Mo_Sold,int64,0
Year_Sold,int64,0
Sale_Type,int32,0
Sale_Condition,int32,0
Sale_Price,int64,0
Longitude,float64,0
Latitude,float64,0
